Rating,Date,Time,Day
10,2022-11-19 00:00:00,"[datetime.time(14, 50, 10, 526000)]","Index(['Saturday'], dtype='object')"
10,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 22, 194000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 31, 483000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 44, 881000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 45, 900000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 46, 912000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 47, 883000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 49, 30000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 50, 174000)]","Index(['Saturday'], dtype='object')"
1,"[datetime.date(2022, 11, 19)]","[datetime.time(15, 34, 51, 393000)]","Index(['Saturday'], dtype='object')"
